  PID TTY           TIME CMD
    1 ??         0:03.57 /sbin/launchd
  132 ??         0:00.23 /usr/sbin/syslogd
  133 ??         0:00.51 /usr/libexec/UserEventAgent (System)
  135 ??         0:00.03 /usr/libexec/wifiFirmwareLoader
  136 ??         0:00.02 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  137 ??         0:02.09 /usr/libexec/kextd
  138 ??         0:02.42 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  140 ??         0:00.17 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  143 ??         0:00.24 /usr/sbin/systemstats --daemon
  144 ??         0:00.82 /usr/libexec/configd
  146 ??         0:00.02 endpointsecurityd
  147 ??         0:00.34 /System/Library/CoreServices/powerd.bundle/powerd
  151 ??         0:00.78 /usr/libexec/logd
  152 ??         0:00.03 /usr/libexec/keybagd -t 15
  157 ??         0:00.03 /usr/libexec/watchdogd
  158 ??         0:00.01 firmwaresyncd
  161 ??         0:02.39 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  162 ??         0:00.03 /System/Library/CoreServices/iconservicesd
  163 ??         0:00.28 /usr/libexec/diskarbitrationd
  167 ??         0:00.33 /usr/libexec/coreduetd
  168 ??         0:00.04 /Library/Application Support/Adobe/AdobeGCClient/AGSService
  172 ??         0:02.71 /usr/libexec/opendirectoryd
  173 ??         0:00.55 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  175 ??         0:00.03 /Library/PrivilegedHelperTools/com.docker.vmnetd
  176 ??         0:00.78 /System/Library/CoreServices/launchservicesd
  177 ??         0:00.05 /usr/libexec/timed
  178 ??         0:00.04 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  179 ??         0:01.20 /usr/sbin/securityd -i
  180 ??         0:00.01 auditd -l
  182 ??         0:00.50 /usr/libexec/locationd
  183 ??         0:00.15 /Applications/Parallels Desktop.app/Contents/MacOS/prl_client_app --start-services
  186 ??         0:00.01 autofsd
  187 ??         0:00.11 /usr/libexec/displaypolicyd -k 1
  189 ??         0:00.75 /usr/libexec/dasd
  190 ??         0:00.17 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  194 ??         0:00.80 /usr/libexec/PerfPowerServices
  196 ??         0:00.05 /System/Library/CoreServices/logind
  197 ??         0:00.06 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  198 ??         0:00.01 /usr/sbin/KernelEventAgent
  200 ??         0:00.18 /usr/sbin/bluetoothd
  201 ??         0:01.86 /usr/libexec/hidd
  202 ??         0:00.04 /usr/libexec/sandboxd
  203 ??         0:00.17 /usr/libexec/corebrightnessd --launchd
  204 ??         0:00.18 /usr/libexec/AirPlayXPCHelper
  205 ??         0:00.79 /usr/sbin/notifyd
  206 ??         0:00.63 /usr/libexec/amfid
  207 ??         0:00.10 /usr/sbin/distnoted daemon
  208 ??         0:00.66 /usr/sbin/cfprefsd daemon
  209 ??         0:01.21 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  210 ??         0:00.00 aslmanager
  219 ??         0:00.28 /System/Library/CoreServices/coreservicesd
  223 ??         0:00.73 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  234 ??         0:00.26 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  235 ??         0:00.27 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  243 ??         0:00.37 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  249 ??         0:01.94 /usr/libexec/airportd
  250 ??         0:00.08 /usr/libexec/nehelper
  251 ??         0:06.70 /usr/libexec/trustd
  252 ??         0:00.59 /usr/sbin/coreaudiod
  256 ??         0:00.10 /usr/libexec/searchpartyd
  266 ??         0:00.93 /usr/libexec/symptomsd
  269 ??         0:00.04 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  270 ??         0:00.16 /usr/sbin/ocspd
  273 ??         0:15.05 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  277 ??         0:01.50 /usr/libexec/syspolicyd
  287 ??         0:00.30 /usr/sbin/mDNSResponder
  290 ??         0:00.03 /usr/sbin/mDNSResponderHelper
  291 ??         0:00.05 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  292 ??         0:00.25 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  293 ??         0:00.04 /usr/libexec/secinitd
  294 ??         0:00.31 /usr/libexec/lsd runAsRoot
  295 ??         0:00.01 /usr/sbin/cfprefsd agent
  296 ??         0:00.11 /usr/libexec/trustd --agent
  297 ??         0:00.04 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  299 ??         0:00.30 /usr/libexec/runningboardd
  300 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  307 ??         0:00.11 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  312 ??         0:00.04 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x1000004bc
  313 ??         0:00.04 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x1000004c2
  320 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver.dfrv1 0x10000054b
  322 ??         0:00.05 /usr/libexec/secinitd
  328 ??         0:00.07 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
  337 ??         0:00.25 /usr/libexec/mobileassetd
  342 ??         0:01.43 /usr/libexec/TouchBarServer
  343 ??         0:00.02 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  344 ??         0:00.18 /usr/libexec/colorsync.displayservices
  345 ??         0:00.07 /usr/libexec/colorsyncd
  346 ??         0:00.37 /usr/libexec/nsurlsessiond --privileged
  347 ??         0:00.02 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  348 ??         0:00.02 /usr/libexec/apfsd
  349 ??         0:00.01 /usr/libexec/eoshostd
  350 ??         0:00.07 /usr/libexec/usbd
  351 ??         0:00.01 /usr/libexec/thermald
  352 ??         0:00.09 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  353 ??         0:00.07 /usr/libexec/biometrickitd --launchd
  354 ??         0:00.01 /usr/libexec/xartstorageremoted
  355 ??         0:00.12 /System/Library/CoreServices/appleeventsd --server
  357 ??         0:00.03 /usr/libexec/bootinstalld
  359 ??         0:00.07 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  361 ??         0:00.03 /System/Library/PrivateFrameworks/EmbeddedOSInstall.framework/Versions/A/XPCServices/EmbeddedOSInstallService.xpc/Contents/MacOS/EmbeddedOSInstallService
  362 ??         0:00.03 /usr/sbin/distnoted agent
  367 ??         0:00.02 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  370 ??         0:00.06 /usr/libexec/diskmanagementd
  372 ??         0:00.01 /System/Library/DriverExtensions/AppleUserHIDDrivers.dext/AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver.dfrv1 0x10000061f
  374 ??         0:01.70 /usr/libexec/ApplicationFirewall/socketfilterfw
  375 ??         0:00.04 /usr/libexec/rpcsvchost -launchd netlogon.bundle
  376 ??         0:00.01 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  378 ??         0:45.86 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  382 ??         0:00.07 /usr/sbin/spindump
  384 ??         0:00.04 /System/Library/CoreServices/SubmitDiagInfo server-init
  386 ??         0:00.03 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  387 ??         0:00.04 /System/Library/CoreServices/sharedfilelistd
  388 ??         0:00.02 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  389 ??         0:00.02 /usr/libexec/securityd_service
  390 ??         0:00.53 /usr/sbin/cfprefsd agent
  392 ??         0:00.01 /Applications/Parallels Desktop.app/Contents/MacOS//Parallels Service start
  393 ??         0:00.02 /bin/bash -s -- start /Applications/Parallels Desktop.app
  400 ??         0:00.90 /Applications/Parallels Desktop.app/Contents/MacOS/Parallels Service.app/Contents/MacOS/prl_disp_service --pidfile /var/run/prl_disp_service.pid --launchd-mode
  405 ??         0:00.11 /usr/sbin/netbiosd
  407 ??         0:00.03 /usr/libexec/captiveagent
  451 ??         0:00.02 /usr/libexec/biokitaggdd
  455 ??         0:00.01 /bin/bash /Applications/Parallels Desktop.app/Contents/MacOS/watchdog start 60 20 /Applications/Parallels Desktop.app/Contents/MacOS/prl_naptd start
  477 ??         0:00.05 /Applications/Parallels Desktop.app/Contents/MacOS/prl_naptd start
  480 ??         0:00.31 /usr/sbin/distnoted agent
  488 ??         0:00.66 /usr/libexec/UserEventAgent (Aqua)
  490 ??         0:00.12 /usr/libexec/knowledge-agent
  491 ??         0:00.02 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  492 ??         0:00.10 /usr/sbin/universalaccessd launchd -s
  493 ??         0:01.84 /usr/libexec/trustd --agent
  494 ??         0:00.34 /usr/libexec/lsd
  495 ??         0:01.51 /usr/libexec/secd
  496 ??         0:00.11 /usr/libexec/pboard
  497 ??         0:00.12 /System/Library/CoreServices/talagent
  498 ??         0:01.92 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  499 ??         0:00.59 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  500 ??         0:02.68 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  503 ??         0:00.07 /System/Library/CoreServices/backgroundtaskmanagementagent
  504 ??         0:00.06 /usr/sbin/systemsoundserverd
  505 ??         0:00.15 /usr/libexec/rapportd
  506 ??         0:00.23 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  507 ??         0:00.19 /usr/libexec/secinitd
  508 ??         0:00.72 /usr/libexec/pkd
  509 ??         0:00.71 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  510 ??         0:00.11 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  511 ??         0:00.76 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  512 ??         0:00.16 /usr/libexec/dmd
  513 ??         0:00.03 automountd
  514 ??         0:00.15 /System/Library/CoreServices/sharedfilelistd
  515 ??         0:00.37 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  517 ??         0:00.46 /usr/libexec/nsurlsessiond
  518 ??         0:00.06 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  520 ??         0:00.05 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  522 ??         0:00.01 /Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/XPCServices/MDRemoteServiceSupport.xpc/Contents/MacOS/MDRemoteServiceSupport
  524 ??         0:00.37 /System/Library/CoreServices/iconservicesagent
  525 ??         0:00.06 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  526 ??         0:01.69 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  527 ??         0:00.33 /usr/libexec/nsurlstoraged
  528 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  530 ??         0:04.51 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  531 ??         0:00.86 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  532 ??         0:00.49 /usr/sbin/usernoted
  533 ??         0:00.09 /System/Library/CoreServices/lockoutagent
  534 ??         0:00.85 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
  535 ??         0:00.09 /usr/libexec/networkserviceproxy
  536 ??         0:01.35 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  537 ??         0:00.01 /System/Library/CoreServices/APFSUserAgent
  539 ??         0:00.24 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  540 ??         0:03.85 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  541 ??         0:00.11 /usr/libexec/nfcd
  542 ??         0:00.10 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  543 ??         0:01.22 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  544 ??         0:00.24 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  547 ??         0:00.04 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  548 ??         0:00.05 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  549 ??         0:00.04 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  550 ??         0:00.11 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  552 ??         0:00.01 /usr/sbin/filecoordinationd
  553 ??         0:00.28 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  554 ??         0:00.13 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  555 ??         0:00.19 /System/Library/PreferencePanes/Displays.prefPane/Contents/Resources/MirrorDisplays.app/Contents/MacOS/MirrorDisplays
  556 ??         0:00.07 /System/Library/CoreServices/mapspushd
  557 ??         0:00.04 /usr/sbin/WirelessRadioManagerd
  558 ??         0:00.42 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  559 ??         0:00.15 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  560 ??         0:00.23 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  561 ??         0:00.18 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  562 ??         0:00.13 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  563 ??         0:00.60 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  565 ??         0:00.34 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  566 ??         0:01.07 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  567 ??         0:00.14 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  568 ??         0:00.59 /usr/libexec/sharingd
  569 ??         0:00.07 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  571 ??         0:00.09 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  572 ??         0:00.02 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  573 ??         0:00.09 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  574 ??         0:00.16 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  575 ??         0:00.15 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  576 ??         0:00.19 /usr/libexec/fmfd
  577 ??         0:00.07 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  578 ??         0:00.09 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  579 ??         0:00.02 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  580 ??         0:00.09 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/MacOS/com.apple.iCloudHelper
  581 ??         0:00.01 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  582 ??         0:00.06 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  583 ??         0:00.06 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  586 ??         0:00.03 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  591 ??         0:00.10 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  592 ??         0:00.25 /System/Library/Image Capture/Support/icdd
  595 ??         0:00.10 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  597 ??         0:02.21 /Library/Application Support/Adobe/AdobeGCClient/AGMService -mode=logon
  598 ??         0:00.10 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  599 ??         0:00.11 /System/Library/CoreServices/cloudpaird
  602 ??         0:00.07 /Library/vnc/vncagent service
  603 ??         0:00.06 /System/Library/CoreServices/diagnostics_agent
  605 ??         0:00.17 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  606 ??         0:00.67 /usr/libexec/remindd
  608 ??         0:00.11 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  610 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  611 ??         0:11.90 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  612 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  613 ??         0:00.08 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  614 ??         0:01.51 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  615 ??         0:00.10 /Applications/Beyond Compare.app/Contents/PlugIns/BCFinder.appex/Contents/MacOS/BCFinder
  616 ??         0:06.78 /Applications/uTorrent Web.app/Contents/MacOS/uTorrent Web
  617 ??         0:00.25 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  618 ??         0:00.22 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  620 ??         0:00.04 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
  621 ??         0:00.11 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  622 ??         0:00.39 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  623 ??         0:00.25 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  624 ??         0:00.16 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  625 ??         0:00.03 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  626 ??         0:00.02 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
  627 ??         0:00.03 /usr/libexec/gamecontrollerd
  629 ??         0:00.02 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/briancullinan/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/briancullinan/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=79.0.3945.130 --handshake-fd=8
  630 ??         0:00.09 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  631 ??         0:00.37 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/MacOS/EmojiFunctionRowIM_Extension
  632 ??         0:00.10 /Applications/Beyond Compare.app/Contents/PlugIns/BCFinder.appex/Contents/MacOS/BCFinder
  633 ??         0:00.06 /System/Library/CoreServices/pbs
  635 ??         0:00.02 /usr/libexec/WiFiVelocityAgent
  637 ??         0:00.06 /usr/libexec/wifivelocityd
  638 ??         0:06.32 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper (GPU).app/Contents/MacOS/Google Chrome Helper (GPU) --type=gpu-process --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --gpu-preferences=KAAAAAAAAAAgAAAAAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAOgAAAAcAAAA4AAAAAAAAADoAAAAAAAAAPAAAAAAAAAA+AAAAAAAAAAAAQAAAAAAAAgBAAAAAAAAEAEAAAAAAAAYAQAAAAAAACABAAAAAAAAKAEAAAAAAAAwAQAAAAAAADgBAAAAAAAAQAEAAAAAAABIAQAAAAAAAFABAAAAAAAAWAEAAAAAAABgAQAAAAAAAGgBAAAAAAAAcAEAAAAAAAB4AQAAAAAAAIABAAAAAAAAiAEAAAAAAACQAQAAAAAAAJgBAAAAAAAAoAEAAAAAAACoAQAAAAAAALABAAAAAAAAuAEAAAAAAAAQAAAAAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAABgAAABAAAAAAAAAAAAAAAAcAAAAQAAAAAAAAAAAAAAAIAAAAEAAAAAAAAAAAAAAACgAAABAAAAAAAAAAAAAAAAsAAAAQAAAAAAAAAAAAAAANAAAAEAAAAAAAAAABAAAAAAAAABAAAAAAAAAAAQAAAAYAAAAQAAAAAAAAAAEAAAAHAAAAEAAAAAAAAAABAAAACAAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAAEAAAAAAAAAABAAAADQAAABAAAAAAAAAABAAAAAAAAAAQAAAAAAAAAAQAAAAGAAAAEAAAAAAAAAAEAAAABwAAABAAAAAAAAAABAAAAAgAAAAQAAAAAAAAAAQAAAAKAAAAEAAAAAAAAAAEAAAACwAAABAAAAAAAAAABAAAAA0AAAAQAAAAAAAAAAYAAAAAAAAAEAAAAAAAAAAGAAAABgAAABAAAAAAAAAABgAAAAcAAAAQAAAAAAAAAAYAAAAIAAAAEAAAAAAAAAAGAAAACgAAABAAAAAAAAAABgAAAAsAAAAQAAAAAAAAAAYAAAANAAAA --service-request-channel-token=14909432024847311167
